,Particle ID,Area (ABD),Area (Filled),Aspect Ratio,Biovolume (Cylinder),Biovolume (P. Spheroid),Biovolume (Sphere),Calibration Factor,Calibration Image,Camera,Capture X,Capture Y,Circle Fit,Circularity,Circularity (Hu),Compactness,Convex Perimeter,Convexity,Date,Diameter (ABD),Diameter (ESD),Edge Gradient,Elapsed Time,Elongation,Feret Angle Max,Feret Angle Min,Fiber Curl,Fiber Straightness,Filter Score,Geodesic Aspect Ratio,Geodesic Length,Geodesic Thickness,Image File,Image Height,Image Width,Image X,Image Y,Intensity,Length,Particles Per Chain,Perimeter,Roughness,Sigma Intensity,Source Image,Sphere Complement,Sphere Count,Sphere Unknown,Sphere Volume,Sum Intensity,Symmetry,Time,Timestamp,Transparency,Volume (ABD),Volume (ESD),Width,imgpaths,class
107,108,237.68,238.31,0.59,672.4,7534.75,2756.42,0.2752,1,1,686,867,0.0,0.11,0.39,9.52,94.16,0.48,2020-11-11,17.4,29.11,39.16,19.67,27.88,35.0,-70.0,1.34,0.43,0.0,0.04,87.31,3.13,campanian_11nov_4_fc80_20x_000002.tif,93,129,169,205,91.28,37.36,1,180.88,1.94,19.03,425,0.0,16,0.0,999.26,328701.0,0.1,13:07:30,2020-11-11T12:07:30.111,0.4,2756.422,12912.99,21.16,train/camp_11nov_4_fc80_20x_108.png,0
120,121,701.13,807.31,0.51,4746.08,20817.97,13965.66,0.2752,1,1,1078,26,0.0,0.16,0.57,6.41,146.85,0.63,2020-11-11,29.88,45.87,54.47,23.21,18.09,85.0,-10.0,1.26,0.44,0.0,0.06,125.51,6.94,campanian_11nov_4_fc80_20x_000002.tif,216,130,912,205,84.55,55.47,1,264.89,2.67,34.27,503,0.0,17,0.0,3757.12,848934.0,0.03,13:07:33,2020-11-11T12:07:33.655,0.35,13965.66,50533.15,30.97,train/camp_11nov_4_fc80_20x_121.png,0
123,124,85.17,86.59,0.39,222.3,1056.26,591.31,0.2752,1,1,1216,488,0.0,0.18,0.35,5.69,61.15,0.56,2020-11-11,10.41,18.61,44.03,23.76,15.82,75.0,-15.0,0.7,0.59,0.0,0.06,41.38,2.62,campanian_11nov_4_fc80_20x_000002.tif,100,55,1117,205,96.02,24.4,1,87.99,1.51,29.83,515,0.0,2,0.0,1966.71,135191.0,0.17,13:07:34,2020-11-11T12:07:34.202,0.44,591.3109,3373.819,9.58,train/camp_11nov_4_fc80_20x_124.png,0
127,128,343.53,562.9,0.53,6811.61,8544.61,4789.68,0.2752,1,1,805,265,0.21,0.58,0.74,1.73,104.19,0.92,2020-11-11,20.91,32.3,55.1,23.95,3.11,50.0,-20.0,0.1,0.91,0.0,0.32,43.78,14.08,campanian_11nov_4_fc80_20x_000002.tif,143,122,32,423,102.38,39.91,1,115.71,2.4,30.33,519,9493.05,0,0.0,0.0,521029.0,0.42,13:07:34,2020-11-11T12:07:34.387,0.35,4789.68,17640.85,23.8,train/camp_11nov_4_fc80_20x_128.png,0
129,130,675.03,741.59,0.51,6668.35,12197.24,13193.23,0.2752,1,1,282,794,0.0,0.34,0.74,2.96,118.18,0.89,2020-11-11,29.32,36.75,44.37,23.95,7.17,-60.0,45.0,0.59,0.63,0.0,0.14,75.86,10.58,campanian_11nov_4_fc80_20x_000002.tif,166,129,195,423,84.67,47.65,1,172.88,2.49,41.06,519,0.0,7,0.0,639.69,819766.0,0.24,13:07:34,2020-11-11T12:07:34.387,0.2,13193.23,25985.04,23.75,train/camp_11nov_4_fc80_20x_130.png,0
133,134,742.68,843.78,0.47,6861.46,14648.6,15225.23,0.2752,1,1,902,327,0.0,0.26,0.69,3.8,131.85,0.84,2020-11-11,30.75,41.1,49.31,24.21,9.83,-70.0,15.0,0.82,0.55,0.0,0.1,94.53,9.61,campanian_11nov_4_fc80_20x_000002.tif,198,122,477,423,98.54,51.91,1,208.28,2.53,39.56,525,0.0,11,0.0,3404.22,1045754.0,0.51,13:07:34,2020-11-11T12:07:34.654,0.25,15225.23,36347.98,25.62,train/camp_11nov_4_fc80_20x_134.png,0
140,141,497.69,598.25,0.39,7521.28,7240.01,8352.33,0.2752,1,1,527,115,0.08,0.59,0.64,1.71,111.68,0.95,2020-11-11,25.17,34.68,33.44,25.13,3.04,15.0,90.0,0.0,1.02,0.0,0.33,44.55,14.66,campanian_11nov_4_fc80_20x_000002.tif,76,173,874,423,82.1,45.59,1,118.42,2.5,23.93,545,0.0,22,0.0,1000.88,593912.0,0.79,13:07:35,2020-11-11T12:07:35.565,0.27,8352.331,21843.19,16.92,train/camp_11nov_4_fc80_20x_141.png,0
145,146,342.6,407.96,0.72,2579.91,6700.37,4770.25,0.2752,1,1,814,692,0.04,0.29,0.81,3.42,91.63,0.79,2020-11-11,20.89,28.31,44.8,26.08,8.64,65.0,15.0,0.93,0.52,0.0,0.12,62.61,7.24,campanian_11nov_4_fc80_20x_000002.tif,131,101,55,623,100.24,32.4,1,139.71,3.02,20.78,566,0.0,19,0.0,1708.79,508834.0,0.28,13:07:36,2020-11-11T12:07:36.519,0.26,4770.254,11873.8,22.06,train/camp_11nov_4_fc80_20x_146.png,0
146,147,2159.75,2551.0,0.41,41136.07,64527.17,75503.82,0.2752,1,1,172,345,0.02,0.35,0.67,2.87,227.61,0.9,2020-11-11,52.44,71.56,45.66,26.18,6.88,-55.0,30.0,0.41,0.71,0.0,0.15,135.4,19.67,campanian_11nov_4_fc80_20x_000002.tif,326,236,158,623,83.28,96.3,1,310.14,3.99,35.28,568,0.0,42,0.0,6920.61,2488518.0,0.57,13:07:36,2020-11-11T12:07:36.610,0.27,75503.82,191863.8,40.62,train/camp_11nov_4_fc80_20x_147.png,0
148,149,652.22,684.99,0.53,9149.84,10730.78,12530.22,0.2752,1,1,953,466,0.29,0.59,0.77,1.71,111.24,0.92,2020-11-11,28.82,34.54,46.54,27.04,3.03,-40.0,35.0,0.12,0.9,0.0,0.33,47.47,15.67,campanian_11nov_4_fc80_20x_000002.tif,146,132,459,623,89.13,42.52,1,126.27,1.85,22.31,587,7046.79,4,0.0,2001.98,835001.0,0.63,13:07:37,2020-11-11T12:07:37.474,0.17,12530.22,21576.3,24.72,train/camp_11nov_4_fc80_20x_149.png,0
151,152,368.79,654.62,0.4,7133.89,9154.7,5327.67,0.2752,1,1,782,95,0.0,0.48,0.62,2.1,117.28,0.88,2020-11-11,21.67,36.46,46.86,27.89,4.37,-45.0,30.0,0.15,0.87,0.0,0.23,55.81,12.76,campanian_11nov_4_fc80_20x_000002.tif,150,145,775,623,95.96,48.66,1,137.13,2.85,25.49,606,2929.63,2,0.0,4519.17,522212.0,0.29,13:07:38,2020-11-11T12:07:38.338,0.41,5327.67,25382.34,21.97,train/camp_11nov_4_fc80_20x_152.png,0
153,154,723.46,834.37,0.53,12873.54,13457.51,14638.19,0.2752,1,1,941,136,0.32,0.62,0.8,1.62,119.69,0.97,2020-11-11,30.35,37.23,48.66,28.17,2.7,-60.0,10.0,0.03,0.97,0.0,0.37,49.3,18.23,campanian_11nov_4_fc80_20x_000002.tif,175,118,964,623,99.29,47.91,1,135.08,3.22,26.12,612,6106.8,3,0.0,4505.21,1027421.0,0.74,13:07:38,2020-11-11T12:07:38.609,0.18,14638.19,27016.72,25.24,train/camp_11nov_4_fc80_20x_154.png,0
154,155,505.78,629.14,0.59,7243.79,11254.73,8556.71,0.2752,1,1,656,54,0.25,0.52,0.76,1.93,111.11,0.87,2020-11-11,25.38,34.5,82.26,28.22,3.79,-80.0,-5.0,0.19,0.84,0.0,0.26,50.93,13.46,campanian_11nov_4_fc80_20x_000002.tif,167,110,1084,623,76.24,42.7,1,128.78,2.52,24.98,613,9811.21,1,0.0,657.02,560052.0,0.47,13:07:38,2020-11-11T12:07:38.656,0.26,8556.708,21500.42,25.18,train/camp_11nov_4_fc80_20x_155.png,0
157,158,375.74,378.47,0.83,1065.99,34488.28,5479.0,0.2752,1,1,696,799,0.46,0.07,0.29,13.66,117.42,0.42,2020-11-11,21.87,36.51,41.76,28.72,40.9,20.0,-45.0,2.3,0.3,0.0,0.02,131.44,3.21,campanian_11nov_4_fc80_20x_000003.tif,149,156,43,0,97.32,39.81,1,269.31,2.35,26.27,624,0.0,12,0.0,30466.13,539064.0,0.73,13:07:39,2020-11-11T12:07:39.156,0.4,5478.999,25476.08,32.12,train/camp_11nov_4_fc80_20x_158.png,0
162,163,1122.84,1364.48,0.62,19302.94,31266.67,28303.59,0.2752,1,1,1012,4,0.39,0.44,0.87,2.3,149.5,0.91,2020-11-11,37.81,46.71,37.83,29.48,5.01,85.0,0.0,0.52,0.66,0.0,0.2,85.17,16.99,campanian_11nov_4_fc80_20x_000003.tif,217,140,593,0,98.83,55.85,1,204.31,4.14,35.29,641,0.0,22,0.0,4477.29,1562812.0,0.48,13:07:39,2020-11-11T12:07:39.927,0.19,28303.59,53369.76,34.54,train/camp_11nov_4_fc80_20x_163.png,0
167,168,1288.02,1493.79,0.6,23166.24,36052.03,34773.48,0.2752,1,1,80,327,0.33,0.47,0.84,2.15,161.63,0.9,2020-11-11,40.5,50.57,52.04,30.44,4.53,-20.0,-85.0,0.32,0.76,0.0,0.22,84.62,18.67,campanian_11nov_4_fc80_20x_000003.tif,164,233,961,0,66.22,64.07,1,206.57,2.98,35.76,662,0.0,17,0.0,633.34,1196119.0,0.56,13:07:40,2020-11-11T12:07:40.883,0.2,34773.48,67715.39,40.43,train/camp_11nov_4_fc80_20x_168.png,0
173,174,437.37,448.67,0.64,4607.88,6346.56,6880.72,0.2752,1,1,337,437,0.42,0.54,0.84,1.86,92.11,0.93,2020-11-11,23.6,28.46,76.14,32.07,3.55,50.0,-30.0,0.17,0.85,0.0,0.28,41.99,11.82,campanian_11nov_4_fc80_20x_000003.tif,127,104,181,219,58.69,35.82,1,107.63,1.49,23.38,698,0.0,5,0.0,1551.83,375465.0,0.66,13:07:42,2020-11-11T12:07:42.520,0.17,6880.718,12064.77,21.38,train/camp_11nov_4_fc80_20x_174.png,0
178,179,389.08,389.73,0.65,3515.58,4974.75,5773.31,0.2752,1,1,446,354,0.39,0.5,0.87,2.02,81.88,0.92,2020-11-11,22.26,25.2,38.16,33.62,4.09,-65.0,25.0,0.41,0.71,0.0,0.24,42.13,10.31,campanian_11nov_4_fc80_20x_000003.tif,121,94,463,219,76.78,29.84,1,104.88,1.31,31.02,732,0.0,5,0.0,6623.6,439569.0,0.59,13:07:44,2020-11-11T12:07:44.066,0.12,5773.313,8381.443,18.87,train/camp_11nov_4_fc80_20x_179.png,0
181,182,834.73,834.73,0.57,13722.81,13755.5,18141.95,0.2752,1,1,982,434,0.42,0.65,0.85,1.53,117.68,0.95,2020-11-11,32.6,36.59,74.87,33.9,2.38,-10.0,85.0,0.03,0.97,0.0,0.42,46.29,19.43,campanian_11nov_4_fc80_20x_000003.tif,105,175,780,219,71.36,45.06,1,131.44,1.11,17.82,738,10750.4,4,0.0,2020.3,847420.0,0.79,13:07:44,2020-11-11T12:07:44.338,0.11,18141.95,25650.58,24.61,train/camp_11nov_4_fc80_20x_182.png,0
187,188,178.64,178.64,0.21,458.78,3501.37,1796.08,0.2752,1,1,1231,201,0.0,0.11,0.16,9.19,109.75,0.52,2020-11-11,15.08,34.07,35.3,34.62,26.82,80.0,0.0,0.5,0.67,0.0,0.04,74.91,2.79,campanian_11nov_4_fc80_20x_000003.tif,194,49,124,348,96.25,49.83,1,155.4,1.41,20.99,754,0.0,8,0.0,1270.1,265844.0,0.24,13:07:45,2020-11-11T12:07:45.065,0.56,1796.078,20704.28,10.87,train/camp_11nov_4_fc80_20x_188.png,0
188,189,858.09,1264.51,0.58,20010.11,26872.89,18908.62,0.2752,1,1,186,451,0.4,0.52,0.84,1.91,146.45,0.95,2020-11-11,33.05,45.74,49.75,34.8,3.74,10.0,-85.0,0.26,0.79,0.0,0.27,70.87,18.96,campanian_11nov_4_fc80_20x_000003.tif,127,216,175,348,95.02,56.12,1,179.67,4.05,36.55,758,0.0,2,0.0,35003.81,1158814.0,0.69,13:07:45,2020-11-11T12:07:45.250,0.28,18908.62,50114.36,30.41,train/camp_11nov_4_fc80_20x_189.png,0
191,192,82.2,95.9,0.52,565.77,505.81,560.6,0.2752,1,1,122,52,0.44,0.57,0.8,1.76,43.28,0.95,2020-11-11,10.23,12.92,78.09,34.99,3.21,-60.0,45.0,0.14,0.87,0.0,0.31,19.53,6.07,campanian_11nov_4_fc80_20x_000003.tif,69,56,510,348,73.64,17.06,1,51.2,1.68,30.04,762,791.56,0,0.0,0.0,100448.0,0.71,13:07:45,2020-11-11T12:07:45.428,0.21,560.5985,1130.306,8.96,train/camp_11nov_4_fc80_20x_192.png,0
200,201,270.41,418.17,0.55,5486.65,4819.35,3345.05,0.2752,1,1,826,580,0.39,0.69,0.83,1.44,85.52,0.98,2020-11-11,18.56,26.36,62.4,37.44,2.05,-75.0,20.0,0.0,1.13,0.0,0.49,30.85,15.05,campanian_11nov_4_fc80_20x_000003.tif,138,84,863,348,103.17,35.0,1,91.8,2.75,29.93,816,7175.04,0,0.0,0.0,419185.0,0.83,13:07:47,2020-11-11T12:07:47.883,0.3,3345.048,9588.825,18.36,train/camp_11nov_4_fc80_20x_201.png,0
206,207,485.5,805.41,0.89,9108.05,17133.82,8047.22,0.2752,1,1,306,323,0.62,0.44,0.96,2.25,111.81,0.92,2020-11-11,24.86,34.72,52.51,38.81,4.88,-65.0,-20.0,0.69,0.59,0.0,0.2,65.1,13.35,campanian_11nov_4_fc80_20x_000003.tif,147,134,0,544,83.47,38.42,1,156.9,3.34,29.33,846,5456.47,3,0.0,4041.91,589689.0,0.66,13:07:49,2020-11-11T12:07:49.247,0.28,8047.22,21921.03,31.41,train/camp_11nov_4_fc80_20x_207.png,0
215,216,313.89,323.6,0.37,1481.87,3558.19,4183.45,0.2752,1,1,297,902,0.0,0.2,0.52,4.98,100.62,0.8,2020-11-11,19.99,31.16,54.43,40.76,13.58,0.0,90.0,0.63,0.61,0.0,0.07,70.33,5.18,campanian_11nov_4_fc80_20x_000003.tif,58,171,489,544,67.11,43.07,1,151.03,1.71,29.82,889,0.0,9,0.0,881.15,313693.0,0.39,13:07:51,2020-11-11T12:07:51.200,0.36,4183.449,15847.5,13.35,train/camp_11nov_4_fc80_20x_216.png,0
219,220,384.49,481.17,0.38,4409.54,5064.68,5671.43,0.2752,1,1,666,526,0.09,0.45,0.63,2.21,102.27,0.91,2020-11-11,22.13,31.69,52.04,41.36,4.74,65.0,-15.0,0.17,0.86,0.0,0.21,50.13,10.58,campanian_11nov_4_fc80_20x_000003.tif,161,87,836,544,101.17,42.88,1,121.43,2.43,34.55,902,5162.61,4,0.0,295.32,572700.0,0.65,13:07:51,2020-11-11T12:07:51.795,0.3,5671.434,16661.02,16.67,train/camp_11nov_4_fc80_20x_220.png,0
220,221,584.62,918.42,0.84,14033.96,20039.62,10633.54,0.2752,1,1,16,358,0.61,0.59,0.95,1.7,119.96,0.94,2020-11-11,27.28,37.32,40.12,41.72,3.0,55.0,5.0,0.32,0.76,0.0,0.33,54.42,18.12,campanian_11nov_4_fc80_20x_000003.tif,161,131,925,544,83.03,41.38,1,145.09,3.91,21.53,910,13257.77,6,0.0,2768.71,700467.0,0.58,13:07:52,2020-11-11T12:07:52.159,0.27,10633.54,27206.96,31.85,train/camp_11nov_4_fc80_20x_221.png,0
226,227,401.0,672.85,0.8,6384.16,12458.77,6040.51,0.2752,1,1,961,649,0.6,0.39,0.94,2.57,102.83,0.94,2020-11-11,22.6,31.87,35.34,43.07,5.91,0.0,70.0,0.83,0.55,0.0,0.17,65.74,11.12,campanian_11nov_4_fc80_20x_000003.tif,120,145,0,724,110.46,35.91,1,153.72,2.96,34.54,940,6359.13,2,0.0,1099.35,650718.0,0.66,13:07:53,2020-11-11T12:07:53.519,0.29,6040.51,16942.66,27.44,train/camp_11nov_4_fc80_20x_227.png,0
