redshift,log_sfr,log_mass,is_star_forming,u_flux,r_flux,zpp_flux,yhsc_flux,h_flux,ks_flux,splash1_flux,splash2_flux
1.027,1.66787,10.5587,1,1.46484,3.96057,14.0641,16.0608,28.4325,42.3629,69.9619,54.4295
0.835,0.315543,10.5597,0,0.097442,1.44818,7.44906,9.21944,17.3109,22.291,23.2268,14.8176
0.361,-0.00101455,10.4154,0,0.92434,18.0803,45.4169,55.891,91.418,115.866,76.9557,64.4153
0.711,0.638019,10.7108,0,0.622661,6.73962,33.4735,40.3331,70.815,96.1202,137.144,86.2475
1.027,-0.113257,10.9685,0,0.0118981,1.08193,7.86472,10.4521,20.7278,30.0114,40.2544,30.8372
0.612,0.316238,9.48658,1,1.70158,5.48183,12.404,13.5867,20.2964,25.3797,47.0479,30.6626
0.489,-0.461469,10.909,0,0.661213,22.0397,73.8914,85.5255,163.2,202.691,231.183,172.42
0.729,0.619604,9.77039,1,0.82235,1.94848,4.93326,5.18154,7.45285,10.1823,9.06101,5.78225
1.284,0.915572,10.1406,1,0.811293,1.16299,2.90597,3.17929,5.11562,5.51661,6.65574,6.44967
0.853,0.839818,9.82171,1,0.537792,1.23142,3.76549,3.90987,6.29302,8.20257,9.50261,6.84892
0.375,0.356553,10.1888,0,0.887397,14.5466,46.068,54.4571,104.975,137.895,92.2093,79.3128
1.353,1.35365,10.3943,1,0.585604,1.20813,3.16946,4.21883,8.22098,9.80881,15.5118,16.7058
0.711,0.116091,10.2971,0,0.110348,1.23941,6.03218,7.86159,17.7489,25.6099,30.6503,19.5319
0.127,-1.99538,8.62415,0,0.757409,5.09507,9.44618,10.8112,13.3746,12.4053,6.44383,4.48884
0.817,1.06355,10.8445,0,0.448767,3.67183,21.5074,26.3486,55.9784,81.0225,118.462,82.014
0.781,0.342071,9.36802,1,0.366746,0.721592,1.82519,1.83082,1.63252,2.0465,2.27408,1.32446
0.89,0.72036,9.74062,1,0.810791,1.30229,3.61991,3.70792,4.18577,5.35921,5.88627,4.22341
0.245,-0.889214,8.48158,1,0.773765,2.99271,4.33758,4.0695,4.39777,4.95246,3.18737,1.43053
0.335,-0.528343,8.92822,1,0.431878,1.81678,2.75108,2.93045,3.27457,3.69458,2.10386,1.27357
0.817,0.747377,10.3148,0,0.176494,1.20238,5.26755,5.84238,10.6115,13.3361,13.9694,9.25309
0.335,0.510435,9.34289,1,4.02701,12.7007,20.303,20.0305,23.6298,27.548,18.2704,17.6455
1.109,1.18668,10.2737,1,0.578828,1.31465,4.52618,4.98235,9.12878,13.9493,21.1922,18.7068
1.929,1.28422,9.67192,1,0.329083,0.479262,0.787239,0.636103,1.16001,1.14716,3.85024,4.43065
0.711,0.941252,10.1609,0,1.42371,4.42763,14.5277,16.1375,29.0786,28865.126380853966,59.0301,55.8871
0.389,0.109719,9.13898,0,0.924412,4.75074,9.89882,11.2112,16.5487,13975.433070711826,13.3678,11.4263
0.335,-0.0547861,8.81244,1,1.37015,5.12059,8.61946,8.65973,10.5966,12.8004,9.42401,7.85084
0.01,-3.70403,5.51419,0,0.495954,0.860971,1.47475,1.50299,1.98935,1.89764,0.738044,0.115822
0.474,-1.3481,10.0984,0,0.0274363,3.67697,10.2176,10.5073,20.2248,25.002,22.0489,17.272
0.948,0.289193,10.607,0,0.0515829,0.79785,5.13109,6.31542,11.4599,15.0875,19.5226,13.8665
0.872,0.139301,10.5023,0,0.065935,1.17899,6.27941,7.69735,14.2913,18.7005,24.9968,16.618
0.781,0.673129,10.6398,0,0.215989,2.44633,11.8105,14.1361,26.5989,35.9211,40.2114,25.2886
0.645,0.426025,10.2623,0,0.380637,2.60705,11.4336,13.4878,27.0059,36.9264,38.3369,23.9735
0.746,0.876665,9.81448,1,0.332385,1.80991,6.26763,6.93287,17.8541,28.1254,41.9542,30.8825
0.729,0.846036,9.82531,1,0.995683,2.4736,6.25639,6.69752,10.0034,7931.2745635787105,11.9809,7.80536
0.661,-1.53109,10.7527,0,0.186412,4.63781,18.7281,22.1393,36.6247,47.9559,44.4541,29.3999
0.051,-1.32466,8.04989,1,6.19313,20.9935,31.6186,34.7287,37.6734,33.4921,23.4958,17.3312
0.375,-0.10822,8.84125,1,0.831595,2.58893,3.92021,4.21089,4.44988,4.7907,3.25056,2.4337
0.335,-0.0400378,9.39699,0,0.919608,4.73621,8.81612,9.5917,12.9154,14.8324,7.61572,6.57711
0.612,0.457867,9.94176,1,0.931555,3.52553,8.9806,10.6534,17.5135,23.2139,19.6742,13.8957
0.208,-1.05338,9.91002,0,2.40292,23.9598,54.5618,61.6839,89.0902,98.9081,51.9969,39.6649
0.89,1.3941,10.1741,1,1.18807,2.8217,9.14501,9.91204,17.4682,24.2323,30.5826,21.3761
0.375,-0.221362,9.31812,0,0.637745,3.77269,8.21434,8.81059,14.9628,20.5826,15.5104,14.7525
0.474,-0.56837,10.0685,0,0.316612,4.23658,13.9672,16.9826,36.3544,49.6762,42.4874,32.8833
0.781,1.1243,9.865,1,1.89761,3.98849,8.56447,8.48894,11.4139,9282.427942258624,15.2773,11.0232
1.173,1.09944,9.78054,1,0.649642,1.04183,2.07367,2.19011,3.60267,3.56345,4.95378,4.89578
0.335,-0.208914,9.00201,1,0.672108,2.68039,4.77573,4.82127,5.68185,4741.461062167263,3.59712,2.88191
1.152,1.23329,10.1674,1,1.15228,1.79883,4.84801,4.93331,7.37732,7040.34678699179,14.2387,12.9957
0.661,-1.30364,10.4435,0,0.148078,2.69897,11.5824,14.1934,25.4104,33.0172,35.7283,23.1737
0.711,0.588306,10.254,0,0.469759,2.58508,10.5048,12.0632,22.6359,29.4431,34.5941,22.2284
0.232,-0.0462479,8.71877,1,3.29866,8.29619,11.3327,11.7387,12.6611,13.7381,9.66101,10.2687
0.817,1.04411,10.3198,0,0.557297,1.99732,8.08363,9.45947,18.0654,24.578,28.1487,19.8189
0.987,0.949176,10.0836,0,0.234875,0.806449,4.1895,5.03971,10.3214,14.8563,20.2549,15.7405
0.596,0.642323,9.87472,1,1.49882,4.79256,10.0149,10.4341,16.7358,20.4153,18.7565,13.9448
1.173,-0.323511,10.8198,0,0.17658,0.804092,5.6446,7.56236,17.4739,26.0444,41.3979,33.6973
0.519,0.0139785,10.8359,0,0.412722,10.7977,39.5648,47.1888,89.6463,114.869,97.0881,71.3418
0.661,-1.57915,9.9996,0,0.115536,1.43175,5.7204,6.95842,15.83,23.7965,28.4505,20.2575
1.047,0.91196,10.1432,1,0.922818,1.55412,5.18691,5.32594,9.29976,11.8336,20.2919,16.739
1.047,1.08801,10.3697,0,0.0498291,0.757064,4.14528,5.29548,11.1408,15.6229,21.0195,16.107
0.661,-0.855797,10.5622,0,0.123326,2.77166,12.378,14.8868,26.8894,24433.862268039,34.6923,22.032
0.645,-0.777307,10.3721,0,0.0766552,1.99069,8.8818,10.4609,20.638,27.9786,25.5059,16.3925
0.817,1.50138,10.5218,0,1.1084,4.12354,14.7252,16.9383,33.8222,48.7477,64.3369,46.3286
0.519,0.186723,9.25055,1,0.957586,2.46178,3.65631,4.10978,4.96923,4.70598,3.10107,2.66777
0.361,0.356985,9.66584,0,1.76056,9.08616,18.4282,19.5213,28.4486,35.5097,21.7253,21.8311
0.853,-0.994888,10.5963,0,0.108734,1.63806,9.22191,10.7976,18.9246,26.4889,34.8594,25.179
0.967,1.16602,10.1551,1,0.650089,1.51916,5.44181,5.98938,10.1682,14.1157,19.8446,15.1886
0.817,1.06355,10.8445,0,0.448767,3.67183,21.5074,26.3486,55.9784,81.0225,118.462,82.014
0.375,0.0271805,8.62583,1,1.05475,2.62314,3.39326,2.81867,3.19259,3.4493,2.36704,1.62455
1.261,-0.531599,10.5677,0,0.344156,0.765689,4.93063,6.8086,20.315,20934.909499181125,57.4227,59.3887
1.759,1.08289,10.3414,1,0.453531,0.776076,1.13965,1.09026,3.04438,3.45428,3.84136,3.02282
0.711,0.607437,10.1643,0,0.253701,1.66758,6.79169,8.15619,14.744,19.182,20.786,13.0845
0.661,0.641598,10.5149,0,0.800601,5.26525,20.6065,24.3528,47.0743,45487.02060429591,68.1209,45.9126
0.661,-0.750423,10.5893,0,0.209255,3.47518,16.4964,19.2841,37.5918,49.755,61.4923,42.4166
0.909,-0.0163387,10.62,0,0.035104,0.985412,6.06073,6.82438,15.2022,20.6435,26.7853,18.5869
0.645,-0.712592,10.403,0,0.132934,2.2664,8.53859,9.96895,17.9248,23.9481,22.2111,14.4053
0.549,-1.43288,9.40275,0,0.146135,1.37143,3.3177,3.18018,4.96275,5.4284,3.56032,4.36084
0.041,-1.48032,7.89846,1,5.56668,16.5855,24.9009,26.0614,26.4387,25.3625,14.0338,10.877
1.13,-0.446133,11.037,0,0.619462,2.57695,17.6448,20.8584,29.2528,38.2837,46.5303,38.4976
0.711,0.701404,9.74166,1,1.01699,2.5414,5.50741,5.63003,8.15342,9.23914,8.25886,5.45948
0.948,0.593259,10.313,0,0.0950446,0.708831,3.86682,4.39789,8.62123,11.7225,13.1571,8.95178
0.612,0.23833,9.41123,1,0.899187,2.02032,3.23443,3.29543,3.36204,3.75835,3.37871,2.91469
0.051,-2.51958,6.59524,1,0.269777,0.585169,0.833942,1.11188,0.867383,0.806313,0.234919,-99.9
0.445,0.184557,10.2414,0,0.753479,8.73798,23.5381,27.8548,45.7833,57.6745,38.0659,30.8435
0.58,0.631522,9.93523,1,1.41097,5.63248,11.5648,11.9514,19.7063,24.3762,21.6714,16.0063
0.565,0.956392,10.5595,0,1.24932,11.469,35.2973,37.7704,72.6845,98.119,104.463,95.8714
0.711,0.451177,9.33194,1,0.65129,1.09468,2.32646,2.32922,3.10241,2213.7423314023376,2.46803,1.45476
0.208,-1.0798,7.59892,1,0.431475,0.866596,1.2066,1.28772,1.90724,2.16974,2.01133,1.95258
0.232,-0.0364516,8.73461,1,3.1476,10.484,16.2243,17.149,18.8361,20.9342,14.5367,13.7236
0.208,-3.65987,8.27506,1,0.108205,0.728578,1.366,1.46753,1.14995,1.49452,1.7611,0.415931
0.928,0.299284,10.925,0,0.103372,1.90442,13.8283,16.3393,36.5597,54.2441,85.3455,61.9078
0.645,-0.0797459,9.43633,1,0.597287,1.61621,3.09887,3.15861,4.06225,4.66561,3.61412,2.54198
1.007,0.892381,9.9841,1,1.23444,1.64957,4.53466,4.83279,5.38737,6.02062,7.01254,5.18381
0.661,-0.248938,10.5255,0,0.126245,3.11612,15.134,18.2198,36.1377,48.7152,57.431,36.2044
1.152,1.41852,10.4841,1,0.996855,2.2642,8.04113,8.77107,16.1967,23.4445,41.7526,36.7867
0.612,-0.965822,10.4677,0,0.380127,6.84983,23.4121,27.1666,45.5216,57.315,53.3587,36.8422
0.612,-0.330069,10.1646,0,0.260046,2.61219,8.87948,10.1337,19.2823,25.0287,23.204,16.8613
0.596,1.09084,10.3453,1,3.82971,15.4943,38.6913,44.4038,77.1513,101.15,119.88,87.6292
0.361,-0.00513191,9.05254,1,1.00483,4.50405,7.88125,8.24259,10.2446,12.6266,9.07616,6.71606
0.116,-1.42226,7.69406,1,1.48326,5.11125,7.46312,7.69743,8.61929,5331.379619557509,7.22194,5.16289
0.661,0.739178,10.4643,0,1.12153,6.37084,24.8494,29.971,56.6334,77.6285,96.3173,64.4508
0.948,1.19039,9.74974,1,1.70983,1.99996,4.68996,5.4512,5.2081,6.40056,9.09985,6.47524
0.361,0.461146,9.48788,0,2.43836,13.281,29.1638,32.2257,48.9646,60.6776,41.5634,37.5398
0.208,-0.15514,8.64681,1,3.04449,11.1536,17.3251,18.4091,20.8863,22.9224,13.8219,11.3846
1.759,1.8873,10.1615,1,0.809412,1.55449,2.50558,2.57767,5.63325,7.4823,11.3399,12.8137
0.361,-0.763243,9.31935,0,0.34722,3.44594,8.07352,9.00908,14.5251,17.0695,17.049,14.518
0.711,0.804002,9.98542,1,1.26337,3.99334,11.4863,12.8777,22.1968,28.8176,37.0393,26.1233
0.474,-0.0399774,8.94559,1,0.667028,2.25251,3.90942,4.5223,4.48222,5.11947,4.27287,3.61951
0.781,0.941781,9.90968,1,1.07978,2.24095,6.25305,6.14284,9.26303,11.0931,11.1863,7.58845
0.361,0.443595,9.3343,0,3.02154,20.5777,49.1575,54.8523,90.431,113.329,93.2526,79.9999
0.948,-0.00900793,10.6826,0,0.114807,1.13654,7.07316,7.87509,17.0099,23.8895,31.2079,22.5937
0.196,-0.176896,8.67313,1,4.25026,9.04557,10.6064,11.588,11.3571,11.4853,8.47033,6.49269
0.431,0.0268934,10.8149,0,0.956745,26.5112,78.9354,82.3594,150.484,194.21,150.176,118.549
0.474,-0.0489533,10.2186,0,0.391003,4.99517,14.828,21.5078,27.589,34.6436,16.2246,14.0788
0.375,0.47562,9.65344,0,1.20146,10.0354,26.0274,29.1767,50.0929,66.1528,59.5783,55.0449
0.375,-0.0331337,9.82646,0,0.164921,3.77448,9.94028,11.4599,17.85,22.1452,12.4377,9.92847
0.335,0.061778,9.23596,1,1.58255,6.23698,11.1208,10.7317,12.8126,14.8634,9.53603,8.1857
0.375,-0.542106,8.53605,1,0.28078,0.989073,1.36151,1.14906,1.40039,1.67834,0.794568,0.785842
1.307,0.924804,10.1917,1,0.828932,1.16949,2.85228,3.47199,5.32137,6.48867,7.1999,6.28719
0.628,0.0562148,9.44267,1,1.66565,3.89975,7.42766,8.39908,10.9805,12.2659,24.4268,19.3446
0.661,0.476346,9.68613,1,1.51701,3.79501,7.23989,8.06185,9.5698,11.2709,10.7916,7.91656
0.321,-0.267003,8.67867,1,0.71868,2.62621,3.84804,3.90065,4.70498,5.16742,2.23964,1.94199
0.361,0.167389,9.87424,1,0.618436,9.44259,30.5661,36.7302,79.3543,106.419,79.1894,66.2803
1.929,1.31294,11.16,0,0.119422,0.657452,2.02494,2.24988,11.5872,15.2723,25.8253,28.5814
0.519,0.671247,9.74441,1,2.51769,6.92841,11.9393,13.3584,15.7433,18.3817,16.1332,12.2904
0.504,0.710859,10.2651,0,1.87838,10.8098,31.5302,36.4123,66.9254,86.1501,81.4247,59.6695
0.909,1.09648,9.73808,1,1.53013,2.05653,4.90662,5.78513,5.03381,6.05892,6.60305,5.36662
0.763,0.378514,10.4388,0,0.0758042,1.28689,7.02923,8.64195,16.7851,23.6042,26.0217,16.5141
0.817,0.927933,10.1953,0,0.25451,1.31728,5.47248,6.28169,10.8129,13.7982,15.1688,10.2046
0.504,0.519418,9.52548,1,2.28866,6.13119,9.88418,11.3946,12.1584,14.0152,9.7419,8.75801
0.645,-2.20988,10.3103,0,0.0211935,1.37595,6.85632,8.02368,18.1092,16770.88634791489,23.164,15.2799
0.03,-4.31781,6.11787,1,0.294391,0.650563,1.10853,1.10018,1.58344,0.98459,0.62895,0.514936
0.781,1.06648,10.015,1,1.4442,2.99829,8.031,8.79866,11.5633,14.5666,16.0488,11.5598
0.799,0.852985,9.90122,1,1.10912,2.41889,7.0075,7.25102,12.0974,16.7024,26.9602,20.0906
0.835,1.24061,10.4851,1,1.05735,3.16055,12.9332,14.6983,26.7384,27037.87512028037,47.1559,31.999
0.474,-0.158623,9.73091,0,0.821513,5.07388,11.6215,15.1449,24.7904,34.24,33.3235,34.0482
0.928,0.321613,9.61014,1,0.435602,0.684268,1.8711,2.0811,2.52925,2.70754,3.02083,2.21392
0.01,-2.85403,5.59698,0,3.7299,4.43034,4.36103,4.69158,3.52635,2.8685,3.35346,2.77493
0.445,1.1295,9.79984,1,9.88898,22.4068,40.3376,52.9335,47.3623,55.911,45.1892,49.6875
0.817,0.944382,10.0605,0,0.190749,1.04743,4.09902,4.60202,8.23682,10.7304,13.3664,10.1343
0.817,0.738664,10.844,0,0.433136,3.88629,19.0538,21.949,34.6402,45.4077,53.5279,36.3319
0.348,0.343878,9.17429,1,2.0775,7.49718,12.4319,11.942,14.6421,17.1032,11.0212,9.8706
1.449,1.49072,10.2957,1,0.976926,1.59339,3.06793,4.05004,6.10578,7.15381,7.58998,8.35553
0.375,-0.392885,10.1937,0,0.553321,9.97124,23.2634,25.9487,41.1426,51.7057,23.2187,21.2411
0.375,0.206886,9.53898,0,0.664612,4.78859,13.6302,16.6363,29.735,39.7765,30.9296,29.865
0.967,1.092,10.3034,0,0.389169,1.22314,5.44183,6.15559,12.1328,17.0225,22.4588,16.1993
0.817,-0.0825187,10.9561,0,0.171454,2.73656,19.4704,23.7141,51.2122,74.2455,109.333,72.4477
1.307,1.01016,10.2359,1,0.727577,1.08067,2.77263,3.23883,5.37069,6.07905,7.50128,7.75213
0.245,-0.507438,8.89858,0,1.65049,11.7489,27.0435,31.5776,58.7886,78.5711,58.3225,56.0961
0.257,-0.657483,8.68553,1,0.809398,2.56644,3.66161,3.94682,4.02374,4.53635,2.30837,1.66733
0.661,0.916924,10.3767,0,2.13311,8.92401,26.381,31.9574,54.8522,51370.83453449978,89.3426,61.7554
0.781,0.956365,9.77952,1,0.828652,1.82773,4.97508,5.0013,7.97864,10.4058,12.006,8.62881
0.729,0.563827,10.4212,0,0.152626,1.78549,8.66553,10.2286,19.8714,26.4921,28.399,18.1993
0.694,0.843374,10.2548,0,1.12763,4.97212,17.0083,20.3587,35.827,48.5194,60.4874,39.4822
1.109,0.876203,10.0118,1,0.886542,1.24704,3.3881,3.74463,4.80672,5.72028,6.38557,5.54571
0.504,0.83094,10.1674,1,4.04756,19.7836,49.1388,57.3375,93.5843,114.9,140.381,111.512
0.196,-0.335618,8.4556,1,1.89809,4.86229,6.47348,6.70521,6.77087,4838.344724744562,3.77796,3.10668
0.89,0.735003,10.5161,0,0.169903,1.14346,6.99489,8.32151,21.1005,32.8128,49.3977,35.3864
1.047,1.2938,10.755,0,0.533189,1.90685,9.90944,12.4136,27.7084,43.1957,67.7936,55.1407
0.853,1.01321,10.4311,1,0.37551,1.86555,9.75887,12.2669,32.8998,37404.85008881369,67.928,47.3051
0.612,0.835817,10.076,1,2.12343,6.41232,15.379,17.6177,27.2279,34.8432,35.7359,24.7359
0.208,-1.48979,7.75581,1,0.221202,0.482836,0.623027,0.352604,1.03213,-99.9,0.180465,0.221946
0.729,0.840014,10.1248,0,0.12928,1.47111,6.49019,7.44215,17.6921,26.4657,29.3453,19.737
1.109,-0.291122,10.6186,0,0.1677,0.760428,5.60121,7.64815,20.3382,33.0029,54.9466,51.3586
1.007,0.919941,10.1984,1,0.258391,0.938765,4.02052,4.12059,10.3886,18.9695,43.4313,37.9548
0.196,-0.0818507,8.96193,1,9.42534,36.6095,60.2909,64.9364,79.8406,86.7122,102.548,86.3245
0.596,0.752102,9.93524,1,2.07038,5.93553,11.0011,12.0461,15.7818,13916.766980999806,15.3563,11.7384
0.474,-0.986915,9.27342,0,0.0860558,1.17974,2.81696,3.49725,6.10528,7.42656,5.86893,5.22111
1.047,0.948248,10.8451,0,0.177389,1.54327,9.75928,12.1648,23.891,34.2939,42.5306,32.3248
0.208,0.318378,9.20042,0,10.317,60.6361,129.323,144.657,233.328,280.992,234.732,206.119
0.375,0.678025,10.3527,0,2.73104,36.5967,95.9199,107.323,214.417,294.59,277.437,242.101
0.389,0.492709,9.63983,0,1.60816,12.002,28.651,34.3753,53.7355,67.9344,50.3272,42.2863
0.348,0.291403,9.15411,1,2.0544,5.78011,13.0544,16.9809,29.9829,37.6496,62.4694,62.385
0.89,0.746195,9.98574,1,1.01019,1.64758,4.74832,5.33428,5.26799,5.87876,6.34086,4.50554
0.335,-0.142659,9.26637,0,0.603236,3.52121,6.70869,7.53436,9.42178,11.0216,6.26993,4.99017
0.375,0.762412,10.1515,0,1.23996,23.1675,70.7701,81.8906,169.687,233.949,172.087,155.909
0.645,-2.29371,10.2272,0,0.138385,1.87288,8.32697,10.4493,22.1569,32.0684,38.2857,25.876
0.781,1.28033,10.4902,0,0.930923,4.72174,21.5637,26.978,53.3505,74.3041,98.9801,67.7148
0.504,0.646602,10.1414,1,2.63127,11.3517,25.6598,29.1023,45.3658,56.1658,48.9127,39.4659
0.116,-0.554941,8.7336,1,4.88391,25.3677,46.7883,50.962,63.9552,61.8306,50.966,36.3867
0.89,1.10627,9.83303,1,1.28731,1.95525,5.18507,5.65719,6.29271,7.40863,7.82136,5.62607
0.612,-0.240171,9.95639,0,0.337551,2.42335,7.82112,8.94561,18.1569,25.5882,25.3909,18.0515
1.047,0.919448,11.2366,0,0.356453,3.07422,23.5427,29.4036,65.4563,96.116,173.655,124.835
0.909,-0.116321,10.7027,0,0.157316,1.4513,8.90696,10.3826,23.279,23763.432963974257,43.5393,34.7765
0.661,0.628462,9.14141,1,0.849883,1.45759,1.94674,1.88904,2.2113,1.81113,1.97097,1.55318
0.817,0.738306,10.8958,0,0.172141,2.86615,16.8128,20.3044,38.0427,52.2725,60.3421,37.3505
0.474,-0.936954,9.7579,0,0.113927,1.81522,5.14043,5.22562,9.4543,11.7275,7.76495,5.41119
0.389,0.66606,10.2517,0,1.54984,16.381,45.3314,51.9268,92.8839,118.805,87.4033,73.9697
